term_str,n,n_chars,p,s,i,h
small,265,5,0.0005109014808431224,1957.3245283018869,10.934667262167812,0.005586537696768346
less,261,4,0.0005031897603775658,1987.3218390804598,10.95660981504849,0.005513253867384735
behind,261,6,0.0005031897603775658,1987.3218390804598,10.95660981504849,0.005513253867384735
say,259,3,0.0004993339001447875,2002.667953667954,10.96770752393182,0.005476548173572206
sound,259,5,0.0004993339001447875,2002.667953667954,10.96770752393182,0.005476548173572206
has,258,3,0.0004974059700283985,2010.4302325581393,10.973288556195119,0.005458179238695757
mind,257,4,0.0004954780399120093,2018.2529182879377,10.978891262424495,0.005439799523113174
feet,255,4,0.000491622179679231,2034.0823529411766,10.990162374759516,0.005403007581707946
think,254,5,0.0004896942495628419,2042.0905511811022,10.995831124846207,0.005384595271001303
soon,253,4,0.0004877663194464527,2050.1620553359685,11.001522236924064,0.005366172009812755
himself,250,7,0.0004819825290972853,2074.764,11.018731526956287,0.0053108360888063835
looked,249,6,0.00048005459898089613,2083.0963855421687,11.024513879550293,0.005292368589406839
people,248,6,0.000478126668864507,2091.4959677419356,11.030319501231498,0.0052738899196350265
hideous,246,7,0.00047427080863172874,2108.5,11.042001306279133,0.00523689888844161
high,246,4,0.00047427080863172874,2108.5,11.042001306279133,0.00523689888844161
sea,246,3,0.00047427080863172874,2108.5,11.042001306279133,0.00523689888844161
course,245,6,0.0004723428785153396,2117.1061224489795,11.047877872615803,0.0052183864358372745
few,243,3,0.0004684870182825613,2134.5308641975307,11.059703308012592,0.005181327425860599
end,242,3,0.00046655908816617213,2143.3512396694214,11.06565257434378,0.0051627807750494895
till,241,4,0.000464631158049783,2152.244813278008,11.071626475388411,0.005144222630754355
dead,241,4,0.000464631158049783,2152.244813278008,11.071626475388411,0.005144222630754355
walls,241,5,0.000464631158049783,2152.244813278008,11.071626475388411,0.005144222630754355
floor,241,5,0.000464631158049783,2152.244813278008,11.071626475388411,0.005144222630754355
always,241,6,0.000464631158049783,2152.244813278008,11.071626475388411,0.005144222630754355
being,240,5,0.00046270322793339386,2161.2125,11.077625216009855,0.005125652945284119
against,239,7,0.00046077529781700475,2170.2552301255228,11.083649003637625,0.0051070716705502745
space,237,5,0.00045691943758422647,2188.5696202531644,11.095772562720114,0.005069874158920566
